timestamp,city,temperature,description
2026-03-30T09:03:08.457Z,Cardiff,9.26,broken clouds
2026-03-30T10:54:59.915Z,Cardiff,10.59,broken clouds
2026-03-30T12:55:03.590Z,Cardiff,13.22,broken clouds
2026-03-30T14:56:57.665Z,Cardiff,12.92,broken clouds
2026-03-30T16:46:11.813Z,Cardiff,11.76,broken clouds
2026-03-30T18:46:40.459Z,Cardiff,10.13,few clouds
2026-03-30T20:35:37.574Z,Cardiff,9.45,clear sky
2026-03-30T22:25:36.783Z,Cardiff,8.68,few clouds
2026-03-31T01:22:57.595Z,Cardiff,8.59,few clouds
2026-03-31T04:28:24.283Z,Cardiff,9.82,scattered clouds
2026-03-31T07:02:30.955Z,Cardiff,10.08,overcast clouds
2026-03-31T08:46:10.098Z,Cardiff,12.2,overcast clouds
2026-03-31T10:44:42.220Z,Cardiff,14.32,overcast clouds
2026-03-31T12:54:03.813Z,Cardiff,14.39,overcast clouds
2026-03-31T14:55:04.438Z,Cardiff,14.34,scattered clouds
2026-03-31T16:49:12.469Z,Cardiff,11.33,mist
2026-03-31T18:47:48.894Z,Cardiff,9.84,mist
2026-03-31T20:33:58.381Z,Cardiff,9.33,mist
2026-03-31T22:25:13.484Z,Cardiff,9.63,overcast clouds
2026-04-01T01:29:54.275Z,Cardiff,9.63,overcast clouds
2026-04-01T04:40:12.777Z,Cardiff,9.43,overcast clouds
2026-04-01T07:08:43.325Z,Cardiff,9.47,overcast clouds
2026-04-01T08:54:28.251Z,Cardiff,10.66,overcast clouds
2026-04-01T10:45:43.411Z,Cardiff,11.14,overcast clouds
2026-04-01T12:55:54.101Z,Cardiff,11.75,overcast clouds
2026-04-01T14:57:34.889Z,Cardiff,11.73,overcast clouds
2026-04-01T16:43:57.405Z,Cardiff,11.36,overcast clouds
2026-04-01T18:46:08.963Z,Cardiff,10.74,overcast clouds
2026-04-01T20:35:01.727Z,Cardiff,10.32,mist
2026-04-01T22:27:34.998Z,Cardiff,9.64,broken clouds
2026-04-02T01:20:00.993Z,Cardiff,6.14,clear sky
2026-04-02T04:21:33.770Z,Cardiff,4.98,few clouds
2026-04-02T07:00:48.487Z,Cardiff,4.51,clear sky
2026-04-02T08:44:35.356Z,Cardiff,9.01,few clouds
2026-04-02T10:43:02.811Z,Cardiff,10.6,few clouds
2026-04-02T12:49:57.696Z,Cardiff,11.27,few clouds
2026-04-02T14:47:11.354Z,Cardiff,11.38,broken clouds
2026-04-02T16:45:28.885Z,Cardiff,9.55,broken clouds
2026-04-02T18:42:39.923Z,Cardiff,8.26,overcast clouds
2026-04-02T20:25:58.209Z,Cardiff,8.05,scattered clouds
2026-04-02T22:23:30.538Z,Cardiff,8.25,broken clouds
2026-04-03T01:22:17.520Z,Cardiff,7.96,overcast clouds
2026-04-03T04:22:05.278Z,Cardiff,9.92,light rain
2026-04-03T06:57:41.981Z,Cardiff,10.74,overcast clouds
2026-04-03T08:41:47.446Z,Cardiff,11.35,overcast clouds
2026-04-03T10:35:05.568Z,Cardiff,11.37,overcast clouds
2026-04-03T12:40:33.399Z,Cardiff,11.97,overcast clouds
2026-04-03T14:36:44.962Z,Cardiff,12.08,overcast clouds
2026-04-03T16:29:15.035Z,Cardiff,12.07,overcast clouds
2026-04-03T18:34:50.189Z,Cardiff,11.27,scattered clouds
2026-04-03T20:26:17.756Z,Cardiff,10.45,scattered clouds
2026-04-03T22:23:04.554Z,Cardiff,9.64,broken clouds
2026-04-04T01:16:35.158Z,Cardiff,8.12,broken clouds
2026-04-04T04:08:10.800Z,Cardiff,9.03,overcast clouds
2026-04-04T06:48:30.396Z,Cardiff,9.26,overcast clouds
2026-04-04T08:30:33.155Z,Cardiff,10.25,overcast clouds
2026-04-04T10:24:09.646Z,Cardiff,13.03,overcast clouds
2026-04-04T12:33:16.576Z,Cardiff,13.13,overcast clouds
2026-04-04T14:25:57.031Z,Cardiff,12.76,overcast clouds
2026-04-04T16:24:13.550Z,Cardiff,12.65,overcast clouds
2026-04-04T18:28:09.144Z,Cardiff,12.24,broken clouds
2026-04-04T20:19:26.607Z,Cardiff,11.76,light rain
2026-04-04T22:19:23.469Z,Cardiff,10.98,broken clouds
2026-04-05T01:26:21.239Z,Cardiff,8.14,scattered clouds
2026-04-05T04:29:34.518Z,Cardiff,7.88,broken clouds
2026-04-05T06:54:51.075Z,Cardiff,7.62,broken clouds
2026-04-05T08:33:29.073Z,Cardiff,8.7,scattered clouds
2026-04-05T10:24:08.454Z,Cardiff,9.74,few clouds
2026-04-05T12:35:27.741Z,Cardiff,10.93,broken clouds
2026-04-05T14:27:48.108Z,Cardiff,10.75,scattered clouds
2026-04-05T16:25:58.959Z,Cardiff,10.64,scattered clouds
2026-04-05T18:29:25.445Z,Cardiff,8.95,few clouds
2026-04-05T20:21:45.233Z,Cardiff,6.03,few clouds
2026-04-05T22:20:33.794Z,Cardiff,5.17,overcast clouds
2026-04-06T01:25:58.637Z,Cardiff,4.24,scattered clouds
2026-04-06T04:36:41.130Z,Cardiff,4.34,broken clouds
2026-04-06T07:17:51.932Z,Cardiff,6.02,overcast clouds
2026-04-06T09:00:43.168Z,Cardiff,9.43,overcast clouds
2026-04-06T10:47:59.270Z,Cardiff,11.59,overcast clouds
2026-04-06T12:47:26.607Z,Cardiff,14.25,scattered clouds
2026-04-06T14:40:08.035Z,Cardiff,14.58,few clouds
2026-04-06T16:36:15.296Z,Cardiff,14.02,few clouds
2026-04-06T18:43:09.025Z,Cardiff,12.32,few clouds
2026-04-06T20:29:12.938Z,Cardiff,9.59,few clouds
2026-04-06T22:26:00.115Z,Cardiff,8.2,scattered clouds
2026-04-07T01:23:30.641Z,Cardiff,7.7,clear sky
2026-04-07T04:25:57.864Z,Cardiff,5.92,clear sky
2026-04-07T07:04:13.564Z,Cardiff,7.12,scattered clouds
2026-04-07T08:52:29.794Z,Cardiff,13.44,scattered clouds
2026-04-07T10:46:53.548Z,Cardiff,16.95,scattered clouds
2026-04-07T12:57:53.076Z,Cardiff,19.24,few clouds
2026-04-07T15:00:13.775Z,Cardiff,20.32,few clouds
2026-04-07T16:45:52.288Z,Cardiff,16.35,few clouds
2026-04-07T18:49:09.689Z,Cardiff,14.66,overcast clouds
2026-04-07T20:36:51.050Z,Cardiff,16.32,overcast clouds
2026-04-07T22:28:59.834Z,Cardiff,11.87,overcast clouds
2026-04-08T01:24:26.254Z,Cardiff,9.92,overcast clouds
2026-04-08T04:29:06.488Z,Cardiff,10.67,broken clouds
2026-04-08T07:06:48.176Z,Cardiff,9.94,clear sky
2026-04-08T08:52:13.223Z,Cardiff,15.81,clear sky
2026-04-08T10:49:37.528Z,Cardiff,17.8,clear sky
2026-04-08T12:58:45.896Z,Cardiff,19.6,broken clouds
2026-04-08T15:01:52.200Z,Cardiff,18.5,scattered clouds
2026-04-08T16:51:14.326Z,Cardiff,16.44,few clouds
2026-04-08T19:02:54.912Z,Cardiff,13.71,clear sky
2026-04-08T20:33:47.231Z,Cardiff,12.98,few clouds
2026-04-08T22:30:07.509Z,Cardiff,11.48,few clouds
2026-04-09T01:15:35.112Z,Cardiff,11.12,scattered clouds
2026-04-09T04:25:22.339Z,Cardiff,9.92,broken clouds
2026-04-09T07:10:47.181Z,Cardiff,9.52,broken clouds
2026-04-09T08:59:12.503Z,Cardiff,10.86,broken clouds
2026-04-09T10:52:39.234Z,Cardiff,12.31,overcast clouds
2026-04-09T13:00:29.969Z,Cardiff,12.56,overcast clouds
2026-04-09T15:13:18.084Z,Cardiff,11.75,few clouds
2026-04-09T16:57:16.268Z,Cardiff,11.35,overcast clouds
2026-04-09T18:50:54.231Z,Cardiff,9.24,scattered clouds
2026-04-09T20:40:02.836Z,Cardiff,7,scattered clouds
2026-04-09T22:32:03.303Z,Cardiff,6.06,broken clouds
2026-04-10T01:25:31.806Z,Cardiff,6.09,overcast clouds
2026-04-10T04:39:16.339Z,Cardiff,5.45,overcast clouds
2026-04-10T07:15:24.590Z,Cardiff,5.74,overcast clouds
2026-04-10T08:59:18.338Z,Cardiff,8.24,overcast clouds
2026-04-10T10:43:10.976Z,Cardiff,9.74,overcast clouds
2026-04-10T12:45:48.061Z,Cardiff,11.42,overcast clouds
2026-04-10T14:41:52.942Z,Cardiff,10.96,light rain
2026-04-10T16:40:50.497Z,Cardiff,9.67,overcast clouds
2026-04-10T18:39:32.518Z,Cardiff,9.28,overcast clouds
2026-04-10T20:24:53.745Z,Cardiff,8.79,overcast clouds
2026-04-10T22:27:18.922Z,Cardiff,8.68,overcast clouds
2026-04-11T01:20:01.528Z,Cardiff,9.3,overcast clouds
2026-04-11T04:12:02.402Z,Cardiff,9.56,moderate rain
2026-04-11T06:49:52.235Z,Cardiff,6.96,overcast clouds
2026-04-11T08:32:26.470Z,Cardiff,7.99,broken clouds
2026-04-11T10:24:39.464Z,Cardiff,9.69,scattered clouds
2026-04-11T12:34:52.872Z,Cardiff,10.67,overcast clouds
2026-04-11T14:29:13.923Z,Cardiff,10.91,overcast clouds
2026-04-11T16:25:05.951Z,Cardiff,10.99,broken clouds
2026-04-11T18:30:01.260Z,Cardiff,9.16,light rain
2026-04-11T20:21:40.870Z,Cardiff,8.31,moderate rain
2026-04-11T22:21:36.256Z,Cardiff,8.32,light rain
2026-04-12T01:29:42.132Z,Cardiff,8.95,broken clouds
2026-04-12T04:39:39.154Z,Cardiff,7.67,overcast clouds
2026-04-12T07:03:26.780Z,Cardiff,8.08,overcast clouds
2026-04-12T08:37:30.020Z,Cardiff,10.35,broken clouds
2026-04-12T10:30:02.103Z,Cardiff,11.43,broken clouds
2026-04-12T12:38:40.891Z,Cardiff,11.88,overcast clouds
2026-04-12T14:34:10.574Z,Cardiff,11.56,few clouds
2026-04-12T16:27:24.358Z,Cardiff,11.6,few clouds
2026-04-12T18:33:57.645Z,Cardiff,10.14,few clouds
2026-04-12T20:24:35.887Z,Cardiff,7.42,clear sky
2026-04-12T22:23:48.461Z,Cardiff,5.92,broken clouds
2026-04-13T01:47:06.818Z,Cardiff,4.64,scattered clouds
2026-04-13T04:51:06.507Z,Cardiff,2.78,broken clouds
2026-04-13T07:48:35.619Z,Cardiff,6.51,clear sky
2026-04-13T09:27:26.625Z,Cardiff,9.78,few clouds
2026-04-13T11:10:19.594Z,Cardiff,11.38,few clouds
2026-04-13T13:01:39.385Z,Cardiff,12.5,clear sky
2026-04-13T15:07:54.443Z,Cardiff,12.74,scattered clouds
2026-04-13T16:53:52.729Z,Cardiff,11.22,broken clouds
2026-04-13T19:01:22.593Z,Cardiff,10.06,scattered clouds
2026-04-13T20:42:50.961Z,Cardiff,7.56,scattered clouds
2026-04-13T22:35:37.890Z,Cardiff,6.03,scattered clouds
2026-04-14T01:29:26.087Z,Cardiff,5.61,scattered clouds
2026-04-14T04:38:24.537Z,Cardiff,4.91,scattered clouds
2026-04-14T07:18:08.118Z,Cardiff,6.73,light rain
2026-04-14T09:08:50.360Z,Cardiff,10.05,overcast clouds
2026-04-14T10:56:08.187Z,Cardiff,11.47,overcast clouds
2026-04-14T13:02:11.170Z,Cardiff,12.17,overcast clouds
2026-04-14T15:06:34.757Z,Cardiff,12.19,overcast clouds
2026-04-14T16:55:12.644Z,Cardiff,13.02,overcast clouds
2026-04-14T18:59:15.584Z,Cardiff,12.25,light rain
2026-04-14T20:42:41.895Z,Cardiff,11.78,light rain
2026-04-14T22:37:13.067Z,Cardiff,12.43,overcast clouds
2026-04-15T01:25:34.968Z,Cardiff,12.37,overcast clouds
2026-04-15T04:38:36.452Z,Cardiff,13.14,overcast clouds
2026-04-15T07:18:28.747Z,Cardiff,12.69,overcast clouds
2026-04-15T09:09:46.720Z,Cardiff,14.1,broken clouds
2026-04-15T10:52:48.297Z,Cardiff,15.31,light rain
2026-04-15T13:00:49.036Z,Cardiff,14.72,light rain
2026-04-15T14:59:09.050Z,Cardiff,14.26,light rain
2026-04-15T16:53:09.870Z,Cardiff,13.4,scattered clouds
2026-04-15T19:01:14.535Z,Cardiff,11.87,clear sky
2026-04-15T20:38:16.984Z,Cardiff,10.7,clear sky
2026-04-15T22:33:54.116Z,Cardiff,10.38,scattered clouds
2026-04-16T01:46:22.153Z,Cardiff,11.08,broken clouds
